case_id,repeat_index,task_profile_id,cmd_idx,mission_id,task_name,task_group,scenario_id,scenario_name,environment_class,obstacle_density,wind_level,link_quality,sensor_quality,disturbance_profile,architecture_id,architecture_name,mapping_profile,adaptation_mode,expected_focus,trigger_policy,duration_sec,preheat_sec,evaluation_window_sec,requires_manual_annotation,notes
CASE_001,1,T01_AUTO_TAKEOFF,14,4,Auto Takeoff,takeoff,S01_OPEN_NOMINAL,Open Nominal,open_field,low,low,nominal,nominal,nominal,ARCH_BASELINE_BALANCED,Baseline Balanced,baseline_map_v1,observe_only,reference,control_jitter_or_attitude_peak,150,20,5,yes,repeat=1;scenario=S01_OPEN_NOMINAL;architecture=ARCH_BASELINE_BALANCED
CASE_002,1,T01_AUTO_TAKEOFF,14,4,Auto Takeoff,takeoff,S01_OPEN_NOMINAL,Open Nominal,open_field,low,low,nominal,nominal,nominal,ARCH_PLANNING_PRIORITY,Planning Priority,planner_priority_map_v2,recommend_then_confirm,planning_latency,control_jitter_or_attitude_peak,150,20,5,yes,repeat=1;scenario=S01_OPEN_NOMINAL;architecture=ARCH_PLANNING_PRIORITY
CASE_003,1,T01_AUTO_TAKEOFF,14,4,Auto Takeoff,takeoff,S01_OPEN_NOMINAL,Open Nominal,open_field,low,low,nominal,nominal,nominal,ARCH_COMM_REDUCED,Communication Reduced,comm_guard_map_v2,recommend_then_confirm,link_resilience,control_jitter_or_attitude_peak,150,20,5,yes,repeat=1;scenario=S01_OPEN_NOMINAL;architecture=ARCH_COMM_REDUCED
CASE_004,1,T01_AUTO_TAKEOFF,14,4,Auto Takeoff,takeoff,S02_OPEN_WIND_GUST,Open Wind Gust,open_field,low,high,nominal,nominal,wind_gust,ARCH_BASELINE_BALANCED,Baseline Balanced,baseline_map_v1,observe_only,reference,control_jitter_or_attitude_peak,150,20,5,yes,repeat=1;scenario=S02_OPEN_WIND_GUST;architecture=ARCH_BASELINE_BALANCED
CASE_005,1,T01_AUTO_TAKEOFF,14,4,Auto Takeoff,takeoff,S02_OPEN_WIND_GUST,Open Wind Gust,open_field,low,high,nominal,nominal,wind_gust,ARCH_PLANNING_PRIORITY,Planning Priority,planner_priority_map_v2,recommend_then_confirm,planning_latency,control_jitter_or_attitude_peak,150,20,5,yes,repeat=1;scenario=S02_OPEN_WIND_GUST;architecture=ARCH_PLANNING_PRIORITY
CASE_006,1,T01_AUTO_TAKEOFF,14,4,Auto Takeoff,takeoff,S02_OPEN_WIND_GUST,Open Wind Gust,open_field,low,high,nominal,nominal,wind_gust,ARCH_COMM_REDUCED,Communication Reduced,comm_guard_map_v2,recommend_then_confirm,link_resilience,control_jitter_or_attitude_peak,150,20,5,yes,repeat=1;scenario=S02_OPEN_WIND_GUST;architecture=ARCH_COMM_REDUCED
CASE_007,1,T01_AUTO_TAKEOFF,14,4,Auto Takeoff,takeoff,S03_DENSE_OBSTACLE,Dense Obstacle,corridor_obstacle_zone,high,medium,nominal,nominal,planner_stress,ARCH_BASELINE_BALANCED,Baseline Balanced,baseline_map_v1,observe_only,reference,control_jitter_or_attitude_peak,150,20,5,yes,repeat=1;scenario=S03_DENSE_OBSTACLE;architecture=ARCH_BASELINE_BALANCED
CASE_008,1,T01_AUTO_TAKEOFF,14,4,Auto Takeoff,takeoff,S03_DENSE_OBSTACLE,Dense Obstacle,corridor_obstacle_zone,high,medium,nominal,nominal,planner_stress,ARCH_PLANNING_PRIORITY,Planning Priority,planner_priority_map_v2,recommend_then_confirm,planning_latency,control_jitter_or_attitude_peak,150,20,5,yes,repeat=1;scenario=S03_DENSE_OBSTACLE;architecture=ARCH_PLANNING_PRIORITY
CASE_009,1,T01_AUTO_TAKEOFF,14,4,Auto Takeoff,takeoff,S03_DENSE_OBSTACLE,Dense Obstacle,corridor_obstacle_zone,high,medium,nominal,nominal,planner_stress,ARCH_COMM_REDUCED,Communication Reduced,comm_guard_map_v2,recommend_then_confirm,link_resilience,control_jitter_or_attitude_peak,150,20,5,yes,repeat=1;scenario=S03_DENSE_OBSTACLE;architecture=ARCH_COMM_REDUCED
CASE_010,1,T01_AUTO_TAKEOFF,14,4,Auto Takeoff,takeoff,S04_LINK_DEGRADED,Link Degraded,semi_urban,medium,medium,degraded,nominal,downlink_loss,ARCH_BASELINE_BALANCED,Baseline Balanced,baseline_map_v1,observe_only,reference,control_jitter_or_attitude_peak,150,20,5,yes,repeat=1;scenario=S04_LINK_DEGRADED;architecture=ARCH_BASELINE_BALANCED
